stimulus,erb_max
kuip,3.8
goud,12.8
thee,12.8
spook,3.2
tape,6.8
kous,3.2
taak,3.8
huid,3.2
pauw,3.8
teek,4.8
pook,12.8
sjeik,6.8
spaak,3.8
haas,3.8
hout,4.8
staat,12.8
tijd,3.8
ijs,3.2
spijs,3.2
goot,3.2
hei,3.8
steek,12.8
gaap,12.8
staaf,4.8
touw,3.2
pijp,3.8
kuit,4.8
poos,4.8
keus,12.8
toast,6.8
haag,12.8
schaap,3.8
feit,4.8
peuk,3.2
saus,6.8
puist,4.8
schijf,12.8
fee,3.2
spuit,4.8
paus,3.8
scheut,6.8
hoop,4.8
feest,3.8
aas,4.8
haak,6.8
kaak,12.8
aap,6.8
cake,3.2
schaaf,12.8
hoofd,4.8
cape,4.8
heup,3.8
geit,6.8
kaas,3.8
kuif,6.8
kou,12.8
schoot,4.8
haast,6.8
stoot,3.2
poot,3.2
oog,3.8
huis,12.8
kei,4.8
steeg,6.8
geest,3.2
pees,6.8
eik,12.8
gaas,6.8
keu,6.8
schaats,3.2
